,idx,smiles
310,8643,CCOC(=O)/C=[CH:7]/[c:8]1[cH:9][cH:10][c:11]([C:12]([CH2:13][CH3:14])([CH2:15][CH3:16])[c:17]2[cH:18][cH:19][c:20](/[CH:21]=[CH:22]/[C:23]([O:24][CH2:25][O:26][CH3:27])([C:28]([F:29])([F:30])[F:31])[C:32]([F:33])([F:34])[F:35])[c:36]([CH3:37])[cH:38]2)[cH:39][c:40]1[CH3:41]>ClCCl.Cl[Ni]Cl.[BH4-].[CH3:42][OH:43].[Cl-].[NH4+].[Na+]>C[CH2:42][O:43]C(=O)C[CH2:7][c:8]1[cH:9][cH:10][c:11]([C:12]([CH2:13][CH3:14])([CH2:15][CH3:16])[c:17]2[cH:18][cH:19][c:20](/[CH:21]=[CH:22]/[C:23]([O:24][CH2:25][O:26][CH3:27])([C:28]([F:29])([F:30])[F:31])[C:32]([F:33])([F:34])[F:35])[c:36]([CH3:37])[cH:38]2)[cH:39][c:40]1[CH3:41]
311,8651,N#[C:5][c:6]1[cH:7][c:8]([F:9])[c:10]([NH:11][c:12]2[cH:13][c:14]([CH:15]3[CH2:16][CH2:17]3)[nH:18][n:19]2)[n:20][c:21]1[NH:22][C@@H:23]([CH2:24][OH:25])[c:26]1[cH:27][cH:28][c:29]([F:30])[cH:31][cH:32]1>CO.Cl.[Pd]>N[CH2:5][c:6]1[cH:7][c:8]([F:9])[c:10]([NH:11][c:12]2[cH:13][c:14]([CH:15]3[CH2:16][CH2:17]3)[nH:18][n:19]2)[n:20][c:21]1[NH:22][C@@H:23]([CH2:24][OH:25])[c:26]1[cH:27][cH:28][c:29]([F:30])[cH:31][cH:32]1
312,8663,S=C=NC[CH2:20][C:21]1=[CH:22][CH2:23][CH2:24][CH2:25][CH2:26]1.[CH3:1][CH:2]([CH3:3])[c:4]1[cH:5][cH:6][n:7][c:8]([NH2:9])[cH:10]1>C[N:12]([CH3:11])[CH:14]=O>S=[C:11]([NH:9][c:8]1[n:7][cH:6][cH:5][c:4]([CH:2]([CH3:1])[CH3:3])[cH:10]1)[NH:12][CH2:14][CH2:20][C:21]1=[CH:22][CH2:23][CH2:24][CH2:25][CH2:26]1
313,8677,C1C[CH2:3][NH:4][NH:5]C1.S=C=[N:32][c:31]1[cH:30][cH:29][c:28]([O:27][CH2:26][c:25]2[c:19]([O:18][CH:16]([C:14]([O:13][CH3:12])=[O:15])[CH3:17])[cH:20][c:21]([CH3:22])[cH:23][cH:24]2)[cH:37][c:35]1[F:36]>I.O.O1[CH2:9][CH2:8][CH2:7][CH2:11]1.[Na+].[OH-]>S=[C:3]([N:4]1[NH:5][CH2:11][CH2:7][CH2:8][CH2:9]1)[NH:32][c:31]1[cH:30][cH:29][c:28]([O:27][CH2:26][c:25]2[c:19]([O:18][CH:16]([C:14]([O:13][CH3:12])=[O:15])[CH3:17])[cH:20][c:21]([CH3:22])[cH:23][cH:24]2)[cH:37][c:35]1[F:36]
314,8719,O=C=[N:7][c:6]1[cH:5][cH:4][cH:3][c:2]([CH3:1])[cH:10]1.[NH2:11][CH2:12][C:13](=[O:14])[N:15]([CH2:16][C:17](=[O:18])[N:19]1[CH2:20][CH2:21][CH2:22][CH2:23]1)[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1>>O=C([NH:7][c:6]1[cH:5][cH:4][cH:3][c:2]([CH3:1])[cH:10]1)[NH:11][CH2:12][C:13](=[O:14])[N:15]([CH2:16][C:17](=[O:18])[N:19]1[CH2:20][CH2:21][CH2:22][CH2:23]1)[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1
315,8739,O=C(NC1CCC1)[C@@H]1CCCN1C(=O)[CH2:41][O:40][c:39]1[cH:38][c:37]([C:35]([NH:34][C@@H:33]([CH3:32])[C:64](O)=[O:65])=[O:36])[n:63][n:56]1-[c:57]1[cH:58][cH:59][cH:60][cH:61][cH:62]1.[O:77]=[C:78]([O:79][CH:80]1[CH2:81][CH2:82][CH2:83]1)[N:84]1[CH2:85][CH2:86][NH:87][CH2:88][CH2:89]1>CCN(C(C)C)[CH:7](C)[CH3:9].CN(C)C(On1nn[c:18]2[cH:19][cH:20][cH:21][n:22][c:23]12)=[N+](C)C.ClCCl.F[P-](F)(F)(F)(F)F.[CH3:27][N:28]([CH3:29])[CH:30]=[O:31]>O=[C:21]([NH:22][CH:23]1[CH2:18][CH2:19][CH2:20]1)[C@@H:29]1[CH2:7][CH2:9][CH2:27][N:28]1[C:30](=[O:31])[CH2:41][O:40][c:39]1[cH:38][c:37]([C:35]([NH:34][C@@H:33]([CH3:32])[C:64](=[O:65])[N:87]2[CH2:86][CH2:85][N:84]([C:78](=[O:77])[O:79][CH:80]3[CH2:81][CH2:82][CH2:83]3)[CH2:89][CH2:88]2)=[O:36])[n:63][n:56]1-[c:57]1[cH:58][cH:59][cH:60][cH:61][cH:62]1
316,8800,O=C=[N:24][c:25]1[cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32][cH:33][c:34]1[F:35].[CH3:1][c:2]1[n:3][c:4]2[n:5][cH:6][cH:7][c:8]([O:9][c:10]3[cH:11][cH:12][c:13]([NH2:14])[c:15]([F:16])[cH:17]3)[c:18]2[nH:19][c:20]1=[O:21]>>O=C([NH:14][c:13]1[cH:12][cH:11][c:10]([O:9][c:8]2[cH:7][cH:6][n:5][c:4]3[n:3][c:2]([CH3:1])[c:20](=[O:21])[nH:19][c:18]32)[cH:17][c:15]1[F:16])[NH:24][c:25]1[cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32][cH:33][c:34]1[F:35]
317,8805,C=[C:2]([CH2:3][C:4](O)=[O:5])[C:7](=[O:8])[OH:9].[NH2:10][CH:11]1[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]1>O.[Na+].[OH-]>C1[CH:2]([C:7](=[O:8])[OH:9])[CH2:3][C:4](=[O:5])[N:10]1[CH:11]1[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]1
318,8814,CC=[CH:3][N:4]1[C:5](=[O:6])[CH2:7][CH2:8][C:9]1=[O:10].[ClH:11]>>CC[CH:3]([N:4]1[C:5](=[O:6])[CH2:7][CH2:8][C:9]1=[O:10])[Cl:11]
319,8838,ON=[C:4]1[CH2:5][CH2:6][c:7]2[o:8][c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]3[c:15]21>[OH2:1]>N1[C:4](=[O:1])[c:15]2[c:7]([o:8][c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]32)[CH2:6][CH2:5]1
320,8871,O=C=[N:34][c:35]1[cH:36][cH:37][cH:38][cH:39][c:40]1[F:41].[CH3:9][n:10]1[cH:11][n:12][c:13](-[c:14]2[cH:15][cH:16][cH:17][c:18]([NH2:19])[cH:20]2)[c:21]1-[c:22]1[cH:23][c:24]2[c:25]([NH2:26])[n:27][cH:28][n:29][c:30]2[s:31]1>C1CCOC1.ClCCl>O=C([NH:19][c:18]1[cH:17][cH:16][cH:15][c:14](-[c:13]2[n:12][cH:11][n:10]([CH3:9])[c:21]2-[c:22]2[cH:23][c:24]3[c:25]([NH2:26])[n:27][cH:28][n:29][c:30]3[s:31]2)[cH:20]1)[NH:34][c:35]1[cH:36][cH:37][cH:38][cH:39][c:40]1[F:41]
321,8893,O=C=[N:37][CH2:38][c:39]1[cH:40][cH:41][cH:42][cH:43][cH:44]1.[CH3:1][CH2:2][NH:3][CH2:4][c:5]1[cH:6][c:7](-[c:8]2[cH:9][cH:10][c:11]3[n:12][cH:13][cH:14][cH:15][c:16]3[cH:17]2)[cH:18][cH:19][c:20]1-[c:21]1[cH:22][c:23]([CH2:24][C:25](=[O:26])[O:27][CH2:28][CH3:29])[cH:30][cH:31][c:32]1[O:33][CH3:34]>>O=C([N:3]([CH2:2][CH3:1])[CH2:4][c:5]1[cH:6][c:7](-[c:8]2[cH:9][cH:10][c:11]3[n:12][cH:13][cH:14][cH:15][c:16]3[cH:17]2)[cH:18][cH:19][c:20]1-[c:21]1[cH:22][c:23]([CH2:24][C:25](=[O:26])[O:27][CH2:28][CH3:29])[cH:30][cH:31][c:32]1[O:33][CH3:34])[NH:37][CH2:38][c:39]1[cH:40][cH:41][cH:42][cH:43][cH:44]1
322,8902,C/C(CO)=[CH:3]\[c:4]1[cH:5][cH:6][c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[cH:12][cH:13]1>c1cc[cH:22][c:17]([CH3:16])c1>O[CH2:22][C@@H:17]([CH2:3][c:4]1[cH:5][cH:6][c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[cH:12][cH:13]1)[CH3:16]
323,8908,c1ccc(CN=[C:20]2[c:9]3[n:8]([CH3:7])[c:17]4[c:11]([c:10]3[CH2:18][CH2:19]2)[cH:12][c:13]([OH:14])[cH:15][cH:16]4)cc1>CO.O.O[CH:2]([CH3:1])[CH3:3].[BH4-].[Na+]>N([CH2:1][c:2]1[cH:3][cH:11][cH:10][cH:9][cH:20]1)[CH:20]1[c:9]2[n:8]([CH3:7])[c:17]3[c:11]([c:10]2[CH2:18][CH2:19]1)[cH:12][c:13]([OH:14])[cH:15][cH:16]3
324,8919,CC(C)(C)OC(=O)C=[CH:14][c:15]1[cH:16][cH:17][cH:18][c:19]([Br:20])[cH:21]1>CO.O=[Pt]=O.[CH2:1]1[CH2:2][CH2:3][O:4][CH2:5]1>C[C:5](C)([CH3:1])[O:4][C:3](=O)[CH2:2][CH2:14][c:15]1[cH:16][cH:17][cH:18][c:19]([Br:20])[cH:21]1
325,8926,Clc1c2cc(Br)ccc2[c:67](=[O:66])[nH:68][n:69]1.[cH:128]1[cH:129][n:130][c:131]([N:132]2[CH2:133][CH2:134][NH:135][CH2:136][CH2:137]2)[cH:138][n:139]1>CCOC(C)=O.O=C(/C=C/c1ccccc1)/C=C/[c:24]1ccc[cH:28][cH:29]1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[O-][C:2]([CH3:1])([CH3:3])[CH3:4].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>Cl[c:1]1[c:2]2[cH:3][c:28]([N:135]3[CH2:134][CH2:133][N:132]([c:131]4[n:130][cH:129][cH:128][n:139][cH:138]4)[CH2:137][CH2:136]3)[cH:29][cH:24][c:4]2[c:67](=[O:66])[nH:68][n:69]1
326,8939,O=C=[N:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][o:9]1.[OH:10][c:11]1[cH:12][cH:13][c:14]2[c:15]([cH:16]1)[CH2:17][CH2:18][N:19]2[CH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1>>O=C([NH:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][o:9]1)[O:10][c:11]1[cH:12][cH:13][c:14]2[c:15]([cH:16]1)[CH2:17][CH2:18][N:19]2[CH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1
327,8972,O=[C:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][C:13](=[O:14])[O:15][CH2:16][CH2:17][CH2:18]1>[Ni]>O[CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][C:13](=[O:14])[O:15][CH2:16][CH2:17][CH2:18]1
328,9011,CC(C)(C)OC(=O)/C=[CH:27]/[c:26]1[c:11]([CH3:10])[n:12][n:13]([CH3:14])[c:15]1-[n:16]1[cH:17][cH:18][c:19]2[cH:20][c:21]([Cl:22])[cH:23][cH:24][c:25]12.C[S+](C)(C)=O>CS(C)=O.[Cl-].[H-].[I-].[NH4+].[Na+].[OH2:36]>CC(C)(C)OC([C@@H]1C[C@H:27]1[c:26]1[c:11]([CH3:10])[n:12][n:13]([CH3:14])[c:15]1-[n:16]1[cH:17][cH:18][c:19]2[cH:20][c:21]([Cl:22])[cH:23][cH:24][c:25]12)=[O:36]
329,9081,CN(C)CC#[C:22][c:21]1[n:20][c:19]2[cH:18][cH:17][c:16](-[c:15]3[c:4]([CH3:3])[cH:5][cH:6][c:7]([C:8](=[O:9])[NH:10][CH:11]4[CH2:12][CH2:13]4)[cH:14]3)[cH:31][c:30]2[cH:29][n:28]1>CO.[Pd]>CN(C)CC[CH2:22][c:21]1[n:20][c:19]2[cH:18][cH:17][c:16](-[c:15]3[c:4]([CH3:3])[cH:5][cH:6][c:7]([C:8](=[O:9])[NH:10][CH:11]4[CH2:12][CH2:13]4)[cH:14]3)[cH:31][c:30]2[cH:29][n:28]1
330,9174,O=C=[N:21][c:22]1[cH:23][cH:24][c:25]([C:26]([F:27])([F:28])[F:29])[cH:30][cH:31]1.[CH3:1][CH:2]([CH3:3])[CH2:4][NH:5][c:6]1[cH:7][cH:8][c:9]2[n:10][c:11]([SH:12])[s:13][c:14]2[cH:15]1>ClCCl>O=C([N:5]([CH2:4][CH:2]([CH3:1])[CH3:3])[c:6]1[cH:7][cH:8][c:9]2[n:10][c:11]([SH:12])[s:13][c:14]2[cH:15]1)[NH:21][c:22]1[cH:23][cH:24][c:25]([C:26]([F:27])([F:28])[F:29])[cH:30][cH:31]1
331,9217,O=C=[N:26][c:27]1[cH:28][cH:29][c:30]([O:31][C:32]([F:33])([F:34])[CH:35]([F:36])[F:37])[cH:38][cH:39]1.[Cl:6][c:7]1[cH:8][cH:9][c:10]([C:11]2=[N:12][NH:13][CH2:14][CH:15]2[c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[cH:22][cH:23]1>CCOCC>O=C([N:13]1[N:12]=[C:11]([c:10]2[cH:9][cH:8][c:7]([Cl:6])[cH:23][cH:22]2)[CH:15]([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:14]1)[NH:26][c:27]1[cH:28][cH:29][c:30]([O:31][C:32]([F:33])([F:34])[CH:35]([F:36])[F:37])[cH:38][cH:39]1
332,9308,Clc1c[n:48][c:47]([NH:46][CH2:45][CH2:44][N:43]2[C:39](=[O:38])[NH:40][CH2:41][CH2:42]2)[n:63]c1-c1cc2cccc(Br)c2s1.OB(O)c1cc(F)ncc1Cl>CC(C)(C)P(C(C)(C)C)[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1-[c:17]1[cH:18][cH:19]c[cH:21][cH:22]1.ClCCl.Cl[Pd]Cl.O.O1[CH2:3][CH2:2][CH2:1][CH2:5]1.O=C([O-])[O-].[Fe+2].[Na+].[Na+].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>F[c:21]1n[cH:19][c:18](Cl)[c:17](-[c:16]2[c:11]3s[c:5](-[c:1]4[c:2](Cl)[cH:3][n:48][c:47]([NH:46][CH2:45][CH2:44][N:43]5[C:39](=[O:38])[NH:40][CH2:41][CH2:42]5)[n:63]4)c[c:12]3[cH:13][cH:14][cH:15]2)[cH:22]1
333,9341,N#[C:16][CH:17]1[NH:18][c:19]2[cH:20][cH:21][cH:22][cH:23][c:24]2[N:25]2[CH2:26][CH2:27][c:28]3[cH:29][cH:30][cH:31][c:32]1[c:33]32>CC(C)C[Al+]CC(C)C.CO.ClCCl.[H-].[H-]>N[CH2:16][CH:17]1[NH:18][c:19]2[cH:20][cH:21][cH:22][cH:23][c:24]2[N:25]2[CH2:26][CH2:27][c:28]3[cH:29][cH:30][cH:31][c:32]1[c:33]32
334,9360,O=C=[N:29][c:28]1[cH:27][cH:26][cH:25][c:24]([O:23][CH3:22])[cH:32]1.[CH3:1][CH2:2][O:3][c:4]1[cH:5][cH:6][c:7]([CH2:8][CH:9]([C:10](=[O:11])[O:12][CH3:13])[C:14](=[O:15])[O:16][CH3:17])[cH:18][c:19]1[CH2:20][OH:21]>>O=C([O:21][CH2:20][c:19]1[c:4]([O:3][CH2:2][CH3:1])[cH:5][cH:6][c:7]([CH2:8][CH:9]([C:10](=[O:11])[O:12][CH3:13])[C:14](=[O:15])[O:16][CH3:17])[cH:18]1)[NH:29][c:28]1[cH:27][cH:26][cH:25][c:24]([O:23][CH3:22])[cH:32]1
335,9377,COC=[CH:6][c:7]1[cH:8][cH:9][c:10]2[o:11][c:12]([CH2:13][c:14]3[n:15][c:16](-[c:17]4[cH:18][cH:19][cH:20][cH:21][cH:22]4)[o:23][c:24]3[CH3:25])[cH:26][c:27]2[cH:28]1.Cc1ccc(S(=O)(=O)O)cc1>[CH3:1][OH:2].[OH2:40]>C[O:40]C([O:2][CH3:1])[CH2:6][c:7]1[cH:8][cH:9][c:10]2[o:11][c:12]([CH2:13][c:14]3[n:15][c:16](-[c:17]4[cH:18][cH:19][cH:20][cH:21][cH:22]4)[o:23][c:24]3[CH3:25])[cH:26][c:27]2[cH:28]1
336,9411,CC(=O)/C=[CH:5]/[c:6]1[cH:7][c:8]([F:9])[c:10]2[n:11][cH:12][c:13]([C:14](=[O:15])[NH:16][CH2:17][c:18]3[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]3)[c:25]([OH:26])[c:27]2[cH:28]1>CCN(CC)[CH2:34][CH3:35].CO.ClCCl.[Pd]>C[C:34](=O)[CH2:35][CH2:5][c:6]1[cH:7][c:8]([F:9])[c:10]2[n:11][cH:12][c:13]([C:14](=[O:15])[NH:16][CH2:17][c:18]3[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]3)[c:25]([OH:26])[c:27]2[cH:28]1
337,9420,CN=[C:8]=[O:9].[CH3:10][c:11]1[cH:12][c:13]([CH2:14][c:15]2[cH:16][cH:17][c:18]([NH2:19])[cH:20][n:21]2)[n:22]([CH3:23])[c:24]1[C:25](=[O:26])[c:27]1[cH:28][cH:29][c:30]([Cl:31])[cH:32][cH:33]1>C1CCOC1>CN[C:8](=[O:9])[NH:19][c:18]1[cH:17][cH:16][c:15]([CH2:14][c:13]2[cH:12][c:11]([CH3:10])[c:24]([C:25](=[O:26])[c:27]3[cH:28][cH:29][c:30]([Cl:31])[cH:32][cH:33]3)[n:22]2[CH3:23])[n:21][cH:20]1
338,9467,O=C=[N:21][S:22](=[O:23])(=[O:24])[Cl:25].OCC[CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1]>C[CH2:15][O:16][CH2:17][CH3:18]>O=[C:15]([O:16][CH2:17][CH2:18][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1])[NH:21][S:22](=[O:23])(=[O:24])[Cl:25]
339,9543,N#[C:17][CH2:16][C:15]1=[CH:19][c:12]2[cH:11][cH:10][c:9]([O:8][CH3:7])[cH:14][c:13]21>B.C1CCOC1.CSC.Cl.[Na+].[OH-]>N[CH2:17][CH2:16][C:15]1=[CH:19][c:12]2[cH:11][cH:10][c:9]([O:8][CH3:7])[cH:14][c:13]21
340,9550,N#CC1([NH:22][C:20]([CH:9]([CH2:8][Si:5]([CH3:4])([CH3:6])[CH3:7])[NH:10][C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][c:17](I)[cH:19]2)=[O:21])CC1.OB(O)c1cccc([C:36]#[N:35])c1>O.O=C([O-])[O-].O[CH2:2][CH3:1].[CH3:28][c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1.[Na+].[Na+].[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>N#[C:28][c:29]1[cH:30][cH:31][cH:32][c:33](-[c:17]2[cH:16][cH:15][cH:14][c:13]([C:11]([NH:10][CH:9]([CH2:8][Si:5]([CH3:4])([CH3:6])[CH3:7])[C:20](=[O:21])[NH:22][C:1]3([C:36]#[N:35])C[CH2:2]3)=[O:12])[cH:19]2)[cH:34]1
341,9579,COC(=O)/C=C/c1c(Cl)nc(C)n1Cc1ccc(I)cc1Cl.[CH:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1>C[CH2:23][O:24][C:25]([CH3:26])=[O:27].C[CH:10]([CH3:11])[NH:12][CH:13]([CH3:14])[CH3:15].Cl[Pd]Cl.I[Cu]I.O.[CH3:16][CH2:17][CH2:18][CH2:19][CH2:20][CH3:21].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>Cl[c:7]1[c:6](C[n:12]2[c:10]([CH3:11])n[c:15](Cl)[c:13]2/[CH:14]=[CH:26]/[C:25]([O:24][CH3:23])=[O:27])[cH:5][cH:4][c:3]([C:2]#[C:1][c:18]2[cH:17][cH:16][cH:21][cH:20][cH:19]2)[cH:8]1
342,9582,O=[C:26]([c:25]1[n:18]([S:19](=[O:20])(=[O:21])[N:22]([CH3:23])[CH3:24])[cH:17][c:16]([CH2:15][C:12]([CH2:11][CH3:10])([CH3:13])[CH3:14])[n:36]1)[CH2:28][c:29]1[cH:30][cH:31][c:32]([Br:33])[cH:34][cH:35]1>CC(C)C[Al+]CC(C)C.ClCCl.[H-]>O[CH:26]([c:25]1[n:18]([S:19](=[O:20])(=[O:21])[N:22]([CH3:23])[CH3:24])[cH:17][c:16]([CH2:15][C:12]([CH2:11][CH3:10])([CH3:13])[CH3:14])[n:36]1)[CH2:28][c:29]1[cH:30][cH:31][c:32]([Br:33])[cH:34][cH:35]1
343,9627,Cc1cc(C(=O)N2[c:66]3[c:61]([cH:62][cH:63][cH:64][cH:65]3)-[c:59]3[c:58]([n:57][c:56]([CH3:55])[o:60]3)[CH2:80][CH2:79]2)ccc1CN.O[C:28]([CH:27]1[CH2:26][CH2:25][N:24]([CH2:23][CH2:22][C:19]([CH3:18])([CH3:20])[CH3:21])[CH2:32][CH2:31]1)=[O:29]>Br[P+](N1CCCC1)(N1CCCC1)[N:13]1[CH2:14][CH2:15][CH2:16][CH2:17]1.CCN(CC)CC.CCOC(C)=O.CN(C)[c:49]1[cH:50]c[n:52][cH:53][cH:54]1.Cl.ClCCl.F[P-](F)(F)(F)(F)F>C[c:14]1[cH:15][c:16]([C:17](=O)[N:13]2[c:66]3[c:61]([cH:62][cH:63][cH:64][cH:65]3)-[c:59]3[c:58]([n:57][c:56]([CH3:55])[o:60]3)[CH2:80][CH2:79]2)[cH:50][cH:49][c:54]1[CH2:53][NH:52][C:28]([CH:27]1[CH2:26][CH2:25][N:24]([CH2:23][CH2:22][C:19]([CH3:18])([CH3:20])[CH3:21])[CH2:32][CH2:31]1)=[O:29]
344,9644,O=C=[N:31][c:32]1[cH:33][cH:34][cH:35][c:36]2[cH:37][cH:38][cH:39][cH:40][c:41]12.[CH3:6][N:7]([c:8]1[n:9][cH:10][cH:11][c:12](-[n:13]2[cH:14][n:15][c:16]3[cH:17][cH:18][cH:19][cH:20][c:21]23)[n:22]1)[CH:23]1[CH2:24][CH2:25][CH2:26][NH:27][CH2:28]1>C1CCOC1>O=C([N:27]1[CH2:26][CH2:25][CH2:24][CH:23]([N:7]([CH3:6])[c:8]2[n:9][cH:10][cH:11][c:12](-[n:13]3[cH:14][n:15][c:16]4[cH:17][cH:18][cH:19][cH:20][c:21]34)[n:22]2)[CH2:28]1)[NH:31][c:32]1[cH:33][cH:34][cH:35][c:36]2[cH:37][cH:38][cH:39][cH:40][c:41]12
345,9662,CCCC#[C:5][c:6]1[cH:7][n:8][c:9]([NH:10][C:11](=[O:12])[C:13]([CH3:14])([CH3:15])[CH3:16])[cH:17][c:18]1[CH3:19]>CCO[C:23](=O)[CH3:24].O=[Pt]>CC[CH2:23][CH2:24][CH2:5][c:6]1[cH:7][n:8][c:9]([NH:10][C:11](=[O:12])[C:13]([CH3:14])([CH3:15])[CH3:16])[cH:17][c:18]1[CH3:19]
346,9663,S=C=[N:26][c:25]1[cH:24][cH:23][cH:22][c:21]([C:18]([F:17])([F:19])[F:20])[cH:29]1.[CH3:7][c:8]1[cH:9][cH:10][cH:11][c:12]([NH2:13])[c:14]1[CH2:15][NH2:16]>CCOC(C)=O>S=C([NH:16][CH2:15][c:14]1[c:8]([CH3:7])[cH:9][cH:10][cH:11][c:12]1[NH2:13])[NH:26][c:25]1[cH:24][cH:23][cH:22][c:21]([C:18]([F:17])([F:19])[F:20])[cH:29]1
347,9819,C[S+](C)(C)=O.O=[C:11]([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[c:18]1[cH:19][cH:20][cH:21][c:22]([Cl:23])[cH:24]1>CS(C)=O.[H-].[I-].[Na+]>C1O[C:11]1([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[c:18]1[cH:19][cH:20][cH:21][c:22]([Cl:23])[cH:24]1
348,9828,COC(=O)/C=[CH:6]/[C:7](=[O:8])[c:9]1[cH:10][c:11]([Br:12])[c:13]([NH2:14])[c:15]([Br:16])[cH:17]1.C[S+](C)(C)=O>CS(C)=O.[H-].[I-].[Na+]>COC(=O)[C@@H]1C[C@H:6]1[C:7](=[O:8])[c:9]1[cH:10][c:11]([Br:12])[c:13]([NH2:14])[c:15]([Br:16])[cH:17]1
349,9848,S=C=[N:15][c:14]1[c:12]([Cl:13])[cH:11][cH:10][c:9]([CH2:8][NH:7][C:5]([C:2]([CH3:1])([CH3:3])[CH3:4])=[O:6])[c:18]1[Cl:19].[NH2:25][c:26]1[cH:27][c:28]([C:29](=[O:30])[NH:31][C@H:32]2[CH2:33][CH2:34][C@H:35]([C:36]([F:37])([F:38])[F:39])[CH2:40][CH2:41]2)[c:42]([O:43][CH2:44][CH:45]([F:46])[F:47])[n:48][c:49]1[NH2:50]>CN(C)C=O.O>S=C([NH:15][c:14]1[c:12]([Cl:13])[cH:11][cH:10][c:9]([CH2:8][NH:7][C:5]([C:2]([CH3:1])([CH3:3])[CH3:4])=[O:6])[c:18]1[Cl:19])[NH:25][c:26]1[cH:27][c:28]([C:29](=[O:30])[NH:31][C@@H:32]2[CH2:33][CH2:34][C@@H:35]([C:36]([F:37])([F:38])[F:39])[CH2:40][CH2:41]2)[c:42]([O:43][CH2:44][CH:45]([F:46])[F:47])[n:48][c:49]1[NH2:50]
350,9857,CO[c:9]1[cH:10][c:11](Br)[cH:13][cH:14][c:15]1-n1cnc(C)c1.Fc1ccc([CH:34]2[n:33]3[c:28]([n:29][c:30]([NH2:31])[n:32]3)[CH2:27][N:26]([S:23]([CH3:22])(=[O:24])=[O:25])[CH2:42]2)cc1>C1O[CH2:4][CH2:5][O:6][CH2:1]1.ClC(Cl)Cl.O=C(/C=C/[c:59]1cc[cH:62][cH:63][cH:64]1)/C=C/[c:63]1[cH:62]cc[cH:59][cH:64]1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=[C:66](/[CH:67]=C/c1ccccc1)/[CH:75]=C/c1ccccc1.[Na+].[O-]c1ccccc1.[Pd].[Pd].c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1>F[c:11]1[cH:10][cH:9][c:15]([CH:34]2[n:33]3[c:28]([n:29][c:30]([NH:31][c:64]4[cH:59][c:5]([O:6][CH3:1])[c:4](-n5cn[c:66]([CH3:67])[cH:75]5)[cH:62][cH:63]4)[n:32]3)[CH2:27][N:26]([S:23]([CH3:22])(=[O:24])=[O:25])[CH2:42]2)[cH:14][cH:13]1
